E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]
pcaG; protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]
pcaH; protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]
E1.13.11.4; gentisate 1,2-dioxygenase [EC:1.13.11.4]
HGD, hmgA; homogentisate 1,2-dioxygenase [EC:1.13.11.5]
HAAO; 3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]
TDO2, kynA; tryptophan 2,3-dioxygenase [EC:1.13.11.11]
LOX2S; lipoxygenase [EC:1.13.11.12]
hpaD, hpcB; 3,4-dihydroxyphenylacetate 2,3-dioxygenase [EC:1.13.11.15]
CDO1; cysteine dioxygenase [EC:1.13.11.20]
HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]
ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]
ALOX5; arachidonate 5-lipoxygenase [EC:1.13.11.34]
bphC; biphenyl-2,3-diol 1,2-dioxygenase [EC:1.13.11.39]
IDO, INDO; indoleamine 2,3-dioxygenase [EC:1.13.11.52]
diox1; all-trans-8'-apo-beta-carotenal 15,15'-oxygenase [EC:1.13.11.75]
iaaM; tryptophan 2-monooxygenase [EC:1.13.12.3]
E1.13.12.4; lactate 2-monooxygenase [EC:1.13.12.4]
MIOX; inositol oxygenase [EC:1.13.99.1]
E1.14.11.1; gamma-butyrobetaine dioxygenase [EC:1.14.11.1]
P4HA; prolyl 4-hydroxylase [EC:1.14.11.2]
PLOD1; procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [EC:1.14.11.4]
TMLHE; trimethyllysine dioxygenase [EC:1.14.11.8]
E1.14.11.9; naringenin 3-dioxygenase [EC:1.14.11.9]
ASPH; aspartate beta-hydroxylase [EC:1.14.11.16]
PHYH; phytanoyl-CoA hydroxylase [EC:1.14.11.18]
gbcA; glycine betaine catabolism A
E1.14.13.1; salicylate hydroxylase [EC:1.14.13.1]
pobA; p-hydroxybenzoate 3-monooxygenase [EC:1.14.13.2]
hpaB; 4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]
hpaC; flavin reductase (NADH) [EC:1.5.1.36]
FMO; dimethylaniline monooxygenase (N-oxide forming) [EC:1.14.13.8]
KMO; kynurenine 3-monooxygenase [EC:1.14.13.9]
CYP73A; trans-cinnamate 4-monooxygenase [EC:1.14.13.11]
CYP7A1; cholesterol 7alpha-monooxygenase [EC:1.14.14.23]
nos; nitric-oxide synthase, bacterial [EC:1.14.14.47]
E1.14.14.1; unspecific monooxygenase [EC:1.14.14.1]
luxA; alkanal monooxygenase alpha chain [EC:1.14.14.3]
alkB1_2, alkM; alkane 1-monooxygenase [EC:1.14.15.3]
CMO; choline monooxygenase [EC:1.14.15.7]
phhA, PAH; phenylalanine-4-hydroxylase [EC:1.14.16.1]
TH; tyrosine 3-monooxygenase [EC:1.14.16.2]
TPH1_2; tryptophan 5-monooxygenase [EC:1.14.16.4]
DBH; dopamine beta-monooxygenase [EC:1.14.17.1]
PAM, PHM; peptidylglycine monooxygenase [EC:1.14.17.3]
TYR; tyrosinase [EC:1.14.18.1]
SCD, desC; stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]
E1.14.19.3; linoleoyl-CoA desaturase [EC:1.14.19.3]
HMOX1; heme oxygenase 1 [EC:1.14.14.18]
SQLE, ERG1; squalene monooxygenase [EC:1.14.14.17]
ZDS, crtQ; zeta-carotene desaturase [EC:1.3.5.6]
BCMO1, BCDO1; beta-carotene 15,15'-dioxygenase [EC:1.13.11.63]
CYP81F; indol-3-yl-methylglucosinolate hydroxylase [EC:1.14.-.-]
sodN; nickel superoxide dismutase [EC:1.15.1.1]
merA; mercuric reductase [EC:1.16.1.1]
FTH1; ferritin heavy chain [EC:1.16.3.2]
ascD, ddhD, rfbI; CDP-4-dehydro-6-deoxyglucose reductase, E3 [EC:1.17.1.1]
nrdJ; ribonucleotide reductase, class II [EC:1.17.4.1]
E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]
E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]
rtpR; ribonucleoside-triphosphate reductase (thioredoxin) [EC:1.17.4.2]
fpr; ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]
anfG; nitrogenase delta subunit [EC:1.18.6.1]
E1.12.7.2; ferredoxin hydrogenase [EC:1.12.7.2]
E1.12.7.2L; ferredoxin hydrogenase large subunit [EC:1.12.7.2]
E1.12.7.2S; ferredoxin hydrogenase small subunit [EC:1.12.7.2]
ARSC1, arsC; arsenate reductase [EC:1.20.4.1]
GAMT; guanidinoacetate N-methyltransferase [EC:2.1.1.2]
ASMT; acetylserotonin O-methyltransferase [EC:2.1.1.4]
BHMT; betaine-homocysteine S-methyltransferase [EC:2.1.1.5]
COMT; catechol O-methyltransferase [EC:2.1.1.6]
mmuM, BHMT2; homocysteine S-methyltransferase [EC:2.1.1.10]
metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]
PLMT; phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.71]
GNMT; glycine N-methyltransferase [EC:2.1.1.20]
PNMT; phenylethanolamine N-methyltransferase [EC:2.1.1.28]
trmD; tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]
TRMT1, trm1; tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase [EC:2.1.1.215 2.1.1.216]
trmH; tRNA (guanosine-2'-O-)-methyltransferase [EC:2.1.1.34]
trmA; tRNA (uracil-5-)-methyltransferase [EC:2.1.1.35]
DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]
E2.1.1.41, SMT1, ERG6; sterol 24-C-methyltransferase [EC:2.1.1.41]
thyA, TYMS; thymidylate synthase [EC:2.1.1.45]
ermC, ermA; 23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184]
INMT, TEMT; methyltransferase [EC:2.1.1.49 2.1.1.96]
rlmA1; 23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187]
rsmC; 16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]
RNMT; mRNA (guanine-N7-)-methyltransferase [EC:2.1.1.56]
mnmA, trmU; tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]
ogt, MGMT; methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]
ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]
TPMT, tpmT; thiopurine S-methyltransferase [EC:2.1.1.67]
pmtA; phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]
E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]
WNT7; wingless-type MMTV integration site family, member 7
E2.1.1.77, pcm; protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]
cfa; cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]
cheR; chemotaxis protein methyltransferase CheR [EC:2.1.1.80]
mtrA; tetrahydromethanopterin S-methyltransferase subunit A [EC:2.1.1.86]
mtrB; tetrahydromethanopterin S-methyltransferase subunit B [EC:2.1.1.86]
mtrC; tetrahydromethanopterin S-methyltransferase subunit C [EC:2.1.1.86]
mtrD; tetrahydromethanopterin S-methyltransferase subunit D [EC:2.1.1.86]
mtrE; tetrahydromethanopterin S-methyltransferase subunit E [EC:2.1.1.86]
mtrF; tetrahydromethanopterin S-methyltransferase subunit F [EC:2.1.1.86]
mtrG; tetrahydromethanopterin S-methyltransferase subunit G [EC:2.1.1.86]
mtrH; tetrahydromethanopterin S-methyltransferase subunit H [EC:2.1.1.86]
DPH5; diphthine methyl ester synthase [EC:2.1.1.314]
ICMT, STE14; protein-S-isoprenylcysteine O-methyltransferase [EC:2.1.1.100]
E2.1.1.104; caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]
MET1; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
E2.1.1.113; site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]
COQ3; polyprenyldihydroxybenzoate methyltransferase / 3-demethylubiquinol 3-O-methyltransferase [EC:2.1.1.114 2.1.1.64]
RBCMT; [ribulose-bisphosphate carboxylase]/[fructose-bisphosphate aldolase]-lysine N-methyltransferase [EC:2.1.1.127 2.1.1.259]
xyoA, aldO; alditol oxidase [EC:1.1.3.41]
cobL; precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]
E4.1.1.64; 2,2-dialkylglycine decarboxylase (pyruvate) [EC:4.1.1.64]
MTRR; methionine synthase reductase [EC:1.16.1.8]
tam; trans-aconitate 2-methyltransferase [EC:2.1.1.144]
METTL6; methyltransferase-like protein 6 [EC:2.1.1.-]
glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]
E2.1.2.2; phosphoribosylglycinamide formyltransferase [EC:2.1.2.2]
purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]
fctD; glutamate formiminotransferase [EC:2.1.2.5]
MTFMT, fmt; methionyl-tRNA formyltransferase [EC:2.1.2.9]
gcvT, AMT; aminomethyltransferase [EC:2.1.2.10]
panB; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]
pyrBI; aspartate carbamoyltransferase [EC:2.1.3.2]
pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]
pyrI; aspartate carbamoyltransferase regulatory subunit
OTC, argF, argI; ornithine carbamoyltransferase [EC:2.1.3.3]
E2.1.3.-; carbamoyltransferase [EC:2.1.3.-]
GATM; glycine amidinotransferase [EC:2.1.4.1]
E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]
E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]
argA; amino-acid N-acetyltransferase [EC:2.3.1.1]
argJ; glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]
GNPNAT1, GNA1; glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4]
nat; arylamine N-acetyltransferase [EC:2.3.1.5]
CHAT; choline O-acetyltransferase [EC:2.3.1.6]
E2.3.1.7; carnitine O-acetyltransferase [EC:2.3.1.7]
E2.3.1.8, pta; phosphate acetyltransferase [EC:2.3.1.8]
E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
GPAT1_2; glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
ATS1; glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]
plsB; glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]
fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]
lacA; galactoside O-acetyltransferase [EC:2.3.1.18]
ptb; phosphate butyryltransferase [EC:2.3.1.19]
E2.3.1.20; diacylglycerol O-acyltransferase [EC:2.3.1.20]
SOAT; sterol O-acyltransferase [EC:2.3.1.26]
catB; chloramphenicol O-acetyltransferase type B [EC:2.3.1.28]
kbl, GCAT; glycine C-acetyltransferase [EC:2.3.1.29]
cysE; serine O-acetyltransferase [EC:2.3.1.30]
metX; homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]
E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]
fabD; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]
pksF; malonyl-ACP decarboxylase
fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]
fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]
GNPAT; glyceronephosphate O-acyltransferase [EC:2.3.1.42]
LCAT; lecithin-cholesterol acyltransferase [EC:2.3.1.43]
metA; homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]
bioF; 8-amino-7-oxononanoate synthase [EC:2.3.1.47]
CDY; chromodomain protein Y [EC:2.3.1.48]
SPT; serine palmitoyltransferase [EC:2.3.1.50]
plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]
speG, SAT; diamine N-acetyltransferase [EC:2.3.1.57]
DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
BAAT; bile acid-CoA:amino acid N-acyltransferase [EC:2.3.1.65 3.1.2.2]
CHS; chalcone synthase [EC:2.3.1.74]
maa; maltose O-acetyltransferase [EC:2.3.1.79]
aacC; aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]
aacA; aminoglycoside 6'-N-acetyltransferase [EC:2.3.1.82]
FASN; fatty acid synthase, animal type [EC:2.3.1.85]
K00666; fatty-acyl-CoA synthase [EC:6.2.1.-]
FAS2; fatty acid synthase subunit alpha, fungi type [EC:2.3.1.86]
FAS1; fatty acid synthase subunit beta, fungi type [EC:2.3.1.86]
AANAT; arylalkylamine N-acetyltransferase [EC:2.3.1.87]
NAA30, MAK3; N-alpha-acetyltransferase 30 [EC:2.3.1.256]
NMT; glycylpeptide N-tetradecanoyltransferase [EC:2.3.1.97]
ftr; formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101]
astA; arginine N-succinyltransferase [EC:2.3.1.109]
dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]
nhoA; N-hydroxyarylamine O-acetyltransferase [EC:2.3.1.118]
lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]
E2.3.1.158; phospholipid:diacylglycerol acyltransferase [EC:2.3.1.158]
ytmI; uncharacterized N-acetyltransferase [EC:2.3.1.-]
ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]
GGCT; gamma-glutamylcyclotransferase [EC:4.3.2.9]
QPCT; glutaminyl-peptide cyclotransferase [EC:2.3.2.5]
aat; leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]
ATE1; arginyl-tRNA---protein transferase [EC:2.3.2.8]
tgl; protein-glutamine gamma-glutamyltransferase [EC:2.3.2.13]
pbp2B, penA; penicillin-binding protein 2B
PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]
E2.4.1.5; dextransucrase [EC:2.4.1.5]
E2.4.1.7; sucrose phosphorylase [EC:2.4.1.7]
mapA; maltose phosphorylase [EC:2.4.1.8]
sacB; levansucrase [EC:2.4.1.10]
GYS; glycogen synthase [EC:2.4.1.11]
bcsA; cellulose synthase (UDP-forming) [EC:2.4.1.12]
E2.4.1.13; sucrose synthase [EC:2.4.1.13]
E2.4.1.14; sucrose-phosphate synthase [EC:2.4.1.14]
otsA; trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]
CHS1; chitin synthase [EC:2.4.1.16]
UGT; glucuronosyltransferase [EC:2.4.1.17]
GBE1, glgB; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]
cgt; cyclomaltodextrin glucanotransferase [EC:2.4.1.19]
E2.4.1.20; cellobiose phosphorylase [EC:2.4.1.20]
glgA; starch synthase [EC:2.4.1.21]
malQ; 4-alpha-glucanotransferase [EC:2.4.1.25]
E2.4.1.34; 1,3-beta-glucan synthase [EC:2.4.1.34]
ABO; histo-blood group ABO system transferase [EC:2.4.1.40 2.4.1.37]
GALNT; polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41]
tagE; poly(glycerol-phosphate) alpha-glucosyltransferase [EC:2.4.1.52]
waaD; UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase [EC:2.4.1.-]
WNT8; wingless-type MMTV integration site family, member 8
FUT8; glycoprotein 6-alpha-L-fucosyltransferase [EC:2.4.1.68]
UGCG; ceramide glucosyltransferase [EC:2.4.1.80]
DPM1; dolichol-phosphate mannosyltransferase [EC:2.4.1.83]
MGAT1; alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.101]
POMT, pmt; dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]
ALG5; dolichyl-phosphate beta-glucosyltransferase [EC:2.4.1.117]
C1GALT1; glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase [EC:2.4.1.122]
B4GALT7; xylosylprotein 4-beta-galactosyltransferase [EC:2.4.1.133]
B3GALT6; galactosylxylosylprotein 3-beta-galactosyltransferase [EC:2.4.1.134]
B3GAT1; galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1 [EC:2.4.1.135]
MGAT2; alpha-1,6-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.143]
MGAT3; beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.144]
MGAT4A_B; alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase A/B [EC:2.4.1.145]
B3GNT2; N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase [EC:2.4.1.149]
GGTA1; N-acetyllactosaminide 3-alpha-galactosyltransferase [EC:2.4.1.87]
E2.4.1.166; raffinose-raffinose alpha-galactotransferase [EC:2.4.1.166]
CSGALNACT1_2; chondroitin sulfate N-acetylgalactosaminyltransferase 1/2 [EC:2.4.1.174 2.4.1.175]
CHPF; chondroitin polymerizing factor [EC:2.4.1.175 2.4.1.226]
lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182]
E2.4.1.183; alpha-1,3-glucan synthase [EC:2.4.1.183]
GYG1, GYG2; glycogenin [EC:2.4.1.186]
hasA; hyaluronan synthase [EC:2.4.1.212]
E2.4.1.214; glycoprotein 3-alpha-L-fucosyltransferase [EC:2.4.1.214]
bshA; L-malate glycosyltransferase [EC:2.4.1.-]
pdp; pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]
udp, UPP; uridine phosphorylase [EC:2.4.2.3]
deoA, TYMP; thymidine phosphorylase [EC:2.4.2.4]
APRT, apt; adenine phosphoribosyltransferase [EC:2.4.2.7]
hprT, hpt, HPRT1; hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]
upp, UPRT; uracil phosphoribosyltransferase [EC:2.4.2.9]
pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]
pncB, NAPRT1; nicotinate phosphoribosyltransferase [EC:6.3.4.21]
purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]
hisG; ATP phosphoribosyltransferase [EC:2.4.2.17]
trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]
nadC, QPRT; nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]
E2.4.2.21, cobU, cobT; nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]
gpt; xanthine phosphoribosyltransferase [EC:2.4.2.22]
E2.4.2.24; 1,4-beta-D-xylan synthase [EC:2.4.2.24]
XYLT; protein xylosyltransferase [EC:2.4.2.26]
mtaP, MTAP; 5'-methylthioadenosine phosphorylase [EC:2.4.2.28]
tgt, QTRT1; queuine tRNA-ribosyltransferase [EC:2.4.2.29]
PARP16; poly [ADP-ribose] polymerase 16 [EC:2.4.2.30]
tox; NAD-diphthamide ADP-ribosyltransferase [EC:2.4.2.36]
SIAT1, ST6GAL1; beta-galactoside alpha-2,6-sialyltransferase (sialyltransferase 1) [EC:2.4.99.1]
lldG; L-lactate dehydrogenase complex protein LldG
rlmH; 23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]
rnz; ribonuclease Z [EC:3.1.26.11]
lst; beta-galactosamide-alpha-2,3-sialyltransferase [EC:2.4.99.-]
E2.4.-.-; glycosyltransferase [EC:2.4.-.-]
FDPS; farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]
thiE; thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]
metK; S-adenosylmethionine synthetase [EC:2.5.1.6]
murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]
miaA, TRIT1; tRNA dimethylallyltransferase [EC:2.5.1.75]
ribE, RIB5; riboflavin synthase [EC:2.5.1.9]
ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]
ispA; farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]
folP; dihydropteroate synthase [EC:2.5.1.15]
speE, SRM; spermidine synthase [EC:2.5.1.16]
MMAB, pduO; cob(I)alamin adenosyltransferase [EC:2.5.1.17]
GST, gst; glutathione S-transferase [EC:2.5.1.18]
aroA; 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]
FDFT1; farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21]
SMS; spermine synthase [EC:2.5.1.22]
AGPS, agpS; alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26]
GGPS1; geranylgeranyl diphosphate synthase, type III [EC:2.5.1.1 2.5.1.10 2.5.1.29]
hepST; heptaprenyl diphosphate synthase [EC:2.5.1.30]
uppS; undecaprenyl diphosphate synthase [EC:2.5.1.31]
hss; homospermidine synthase [EC:2.5.1.44]
DHPS, dys; deoxyhypusine synthase [EC:2.5.1.46]
ASP5; aspartate aminotransferase, chloroplastic [EC:2.6.1.1]
aspB; aspartate aminotransferase [EC:2.6.1.1]
aspC; aspartate aminotransferase [EC:2.6.1.1]
GPT, ALT; alanine transaminase [EC:2.6.1.2]
TAT; tyrosine aminotransferase [EC:2.6.1.5]
CCBL; kynurenine---oxoglutarate transaminase / cysteine-S-conjugate beta-lyase / glutamine---phenylpyruvate transaminase [EC:2.6.1.7 4.4.1.13 2.6.1.64]
hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]
E2.6.1.11, argD; acetylornithine aminotransferase [EC:2.6.1.11]
rocD, OAT; ornithine--oxo-acid transaminase [EC:2.6.1.13]
glmS, GFPT; glucosamine---fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]
argD; acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]
E2.6.1.18; beta-alanine--pyruvate transaminase [EC:2.6.1.18]
puuE; 4-aminobutyrate aminotransferase [EC:2.6.1.19]
dat; D-alanine transaminase [EC:2.6.1.21]
AADAT, KAT2; kynurenine/2-aminoadipate aminotransferase [EC:2.6.1.7 2.6.1.39]
E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]
AGXT2; alanine-glyoxylate transaminase / (R)-3-amino-2-methylpropionate-pyruvate transaminase [EC:2.6.1.44 2.6.1.40]
AGXT; alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]
serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]
tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57]
bioA; adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]
avtA; valine--pyruvate aminotransferase [EC:2.6.1.66]
ectB, dat; diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]
pucG; (S)-ureidoglycine---glyoxylate transaminase [EC:2.6.1.112]
astC; succinylornithine aminotransferase [EC:2.6.1.81]
patA; aminotransferase [EC:2.6.1.-]
E2.6.1.-E, patB; aminotransferase [EC:2.6.1.-]
HK; hexokinase [EC:2.7.1.1]
glk; glucokinase [EC:2.7.1.2]
KHK; ketohexokinase [EC:2.7.1.3]
E2.7.1.4, scrK; fructokinase [EC:2.7.1.4]
rhaB; rhamnulokinase [EC:2.7.1.5]
galK; galactokinase [EC:2.7.1.6]
pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]
E2.7.1.12, gntK, idnK; gluconokinase [EC:2.7.1.12]
rbsK, RBKS; ribokinase [EC:2.7.1.15]
araB; L-ribulokinase [EC:2.7.1.16]
xylB, XYLB; xylulokinase [EC:2.7.1.17]
PRK, prkB; phosphoribulokinase [EC:2.7.1.19]
E2.7.1.20, ADK; adenosine kinase [EC:2.7.1.20]
tdk, TK; thymidine kinase [EC:2.7.1.21]
ppnK, NADK; NAD+ kinase [EC:2.7.1.23]
coaE; dephospho-CoA kinase [EC:2.7.1.24]
cysC; adenylylsulfate kinase [EC:2.7.1.25]
RFK, FMN1; riboflavin kinase [EC:2.7.1.26]
eryA; erythritol kinase (D-erythritol 1-phosphate-forming) [EC:2.7.1.215]
DAK, TKFC; triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]
glpK, GK; glycerol kinase [EC:2.7.1.30]
glxK, garK; glycerate 2-kinase [EC:2.7.1.165]
CKI1; choline kinase [EC:2.7.1.32]
coaA; type I pantothenate kinase [EC:2.7.1.33]
pdxK, pdxY; pyridoxine kinase [EC:2.7.1.35]
E2.7.1.36, MVK, mvaK1; mevalonate kinase [EC:2.7.1.36]
E2.7.1.37; protein kinase [EC:2.7.1.37]
PHKG; phosphorylase kinase gamma subunit [EC:2.7.11.19]
thrB1; homoserine kinase [EC:2.7.1.39]
PK, pyk; pyruvate kinase [EC:2.7.1.40]
kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]
E2.7.1.47; D-ribulokinase [EC:2.7.1.47]
udk, UCK; uridine kinase [EC:2.7.1.48]
THI20; hydroxymethylpyrimidine/phosphomethylpyrimidine kinase / thiaminase [EC:2.7.1.49 2.7.4.7 3.5.99.2]
thiM; hydroxyethylthiazole kinase [EC:2.7.1.50]
fucK; L-fuculokinase [EC:2.7.1.51]
lyxK; L-xylulokinase [EC:2.7.1.53]
alsK; allose kinase [EC:2.7.1.55]
fruK; 1-phosphofructokinase [EC:2.7.1.56]
dgoK; 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]
NAGK, nagK; N-acetylglucosamine kinase [EC:2.7.1.59]
nanK; N-acylmannosamine kinase [EC:2.7.1.60]
ppgK; polyphosphate glucokinase [EC:2.7.1.63]
dgkA; undecaprenol kinase [EC:2.7.1.66]
PI4KA; phosphatidylinositol 4-kinase A [EC:2.7.1.67]
PIP5K; 1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68]
E2.7.1.71, aroK, aroL; shikimate kinase [EC:2.7.1.71]
gsk; inosine kinase [EC:2.7.1.73]
DCK; deoxycitidine kinase [EC:2.7.1.74]
ETNK, EKI; ethanolamine kinase [EC:2.7.1.82]
pfp, PFP; diphosphate-dependent phosphofructokinase [EC:2.7.1.90]
aphA; kanamycin kinase [EC:2.7.1.95]
PDK2_3_4; pyruvate dehydrogenase kinase 2/3/4 [EC:2.7.11.2]
mtnK; 5-methylthioribose kinase [EC:2.7.1.100]
E2.7.1.105, PFK; 6-phosphofructo-2-kinase [EC:2.7.1.105]
dgkA, DGK; diacylglycerol kinase (ATP) [EC:2.7.1.107]
E2.7.1.108; dolichol kinase [EC:2.7.1.108]
epsB; protein-tyrosine kinase [EC:2.7.10.2]
DGUOK; deoxyguanosine kinase [EC:2.7.1.113]
BCKDK; [3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase [EC:2.7.11.4]
aceK; isocitrate dehydrogenase kinase/phosphatase [EC:2.7.11.5 3.1.3.-]
